Experiment	Sample_name	alias	host	isolation_source	collection_date	life_stage	storage	geographic_location	province	lat_lon	container_description	env_medium	temp	ph	metagenome
SRR8703972	CH.AS01.A.AE.P1	CH.AS01.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Chiriqui	Paso Canoas	8.52709 N 82.83557 W	Tyre	rubber	25.23	9.71	Metagenome or environmental
SRR8703973	CN1.17S.L.AE.P2	CN1.17S.L.AE.P2	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Colon	Miguel de la Borda	9.15283 N 80.30654 W	Tyre	rubber	30	8.61	Metagenome or environmental
SRR8703974	CN3.19S.A.AE.P1	CN3.19S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Colon	Portobelo	9.15493 N 80.3044 W	Plastic sheet	plastic	26.46	8.69	Metagenome or environmental
SRR8703975	CL.AS2.A.AE.P1	CL.AS2.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Cocle	Aguadulce	8.24569 N 80.56418 W	Tyre	rubber	27.63	8.44	Metagenome or environmental
SRR8703976	CN1.17S.L.AE.P1	CN1.17S.L.AE.P1	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Colon	Miguel de la Borda	9.15283 N 80.30654 W	Tyre	rubber	30	8.61	Metagenome or environmental
SRR8703993	P8.1S.A.AE.P1	P8.1S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Felipillo	9.09888 N 79.305 W	Tyre	rubber	30.11	6.12	Metagenome or environmental
SRR8703994	P4.1S.A.AE16	P4.1S.A.AE16	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Veracruz	8.89805 N 79.62333 W	Plastic container	plastic	34.83	6.25	Metagenome or environmental
SRR8703995	P4.1S.A.AE15	P4.1S.A.AE15	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Veracruz	8.89805 N 79.62333 W	Plastic container	plastic	34.83	6.25	Metagenome or environmental
SRR8703996	P4.1S.A.AE14	P4.1S.A.AE14	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Veracruz	8.89805 N 79.62333 W	Plastic container	plastic	34.83	6.25	Metagenome or environmental
SRR8703997	P4.1S.A.AE13	P4.1S.A.AE13	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Veracruz	8.89805 N 79.62333 W	Plastic container	plastic	34.83	6.25	Metagenome or environmental
SRR8703998	P4.1S.A.AE.P4	P4.1S.A.AE.P4	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Veracruz	8.89805 N 79.62333 W	Tank	plastic	34.83	6.25	Metagenome or environmental
SRR8703999	P4.1S.A.AE.P2	P4.1S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Veracruz	8.89805 N 79.62333 W	Tank	plastic	34.83	6.25	Metagenome or environmental
SRR8704000	P4.1S.A.AE.P1	P4.1S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Panama	Veracruz	8.89805 N 79.62333 W	Tank	plastic	34.83	6.25	Metagenome or environmental
SRR8704001	BT5.3S.A.AE.P4	BT5.3S.A.AE.P4	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Isla Colon	9.33949 N 82.24311 W	Small plastic tank	plastic	25.47	8.93	Metagenome or environmental
SRR8704002	BT5.6S.A.AE.P2	BT5.6S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Isla Colon	9.34173 N 82.24285 W	Plastic container	plastic	27.13	8.47	Metagenome or environmental
SRR8704003	BT1.24S.L.AE.P3	BT1.24S.L.AE.P3	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Chiriqui Grande	9.34636 N 82.25311 W	Freezer	metal	28.33	9.28	Metagenome or environmental
SRR8704004	BT1.24S.L.AE.P4	BT1.24S.L.AE.P4	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Chiriqui Grande	9.34636 N 82.25311 W	Freezer	metal	28.33	9.28	Metagenome or environmental
SRR8704005	BT1.24S.L.AE.P1	BT1.24S.L.AE.P1	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Chiriqui Grande	9.34636 N 82.25311 W	Freezer	metal	28.33	9.28	Metagenome or environmental
SRR8704006	BT1.24S.L.AE.P2	BT1.24S.L.AE.P2	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Chiriqui Grande	9.34636 N 82.25311 W	Freezer	metal	28.33	9.28	Metagenome or environmental
SRR8704007	BT4.24S.A.AE.P1	BT4.24S.A.AE.P1	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Changuinola	9.45099 N 82.52432 W	Tyre	rubber	28.87	9.34	Metagenome or environmental
SRR8704008	BT5.3S.A.AE.P2	BT5.3S.A.AE.P2	Aedes aegypti	not applicable	2016	Adult	Dry	Panama:Bocas del Toro	Isla Colon	9.33949 N 82.24311 W	Small plastic tank	plastic	25.47	8.93	Metagenome or environmental
SRR8704009	BT3.24S.L.AE.P2	BT3.24S.L.AE.P2	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Changuinola	9.45099 N 82.52432 W	Tyre	rubber	29.6	9.28	Metagenome or environmental
SRR8704010	BT3.24S.L.AE.P3	BT3.24S.L.AE.P3	Aedes aegypti	not applicable	2016	Larvae	Dry	Panama:Bocas del Toro	Changuinola	9.45099 N 82.52432 W	Tyre	rubber	29.6	9.28	Metagenome or environmental
