Experiment	sample_name	isolation_source	collection_date	geographic_location	lat_lon	sample_size	metagenome
SRR11035531	L103	larvae103_tire	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035532	L102	larvae102_drum	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035533	L101	larvae101_freezer	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035534	L100	larvae100_freezer	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035535	STC9L	larvae87_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035536	STC8L	larvae86_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035537	STC7L	larvae85_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035538	STC6L	larvae84_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035539	STC5L	larvae83_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035540	STC4L	larvae82_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035541	CPTR5E	water 25_plants container	2017-06-08	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035542	STC2L	larvae81_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035543	STC1L	larvae80_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035544	STC10L	larvae79_Guadeloupe	2017-06-01	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035545	SF9L	larvae78_Guadeloupe	2017-05-30	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035546	SF8L	larvae77_Guadeloupe	2017-05-30	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035547	SF7L	larvae76_Guadeloupe	2017-05-30	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035548	SF6L	larvae75_Guadeloupe	2017-05-30	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035549	SF5L	larvae74_Guadeloupe	2017-05-30	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035550	SF4L	larvae73_Guadeloupe	2017-05-30	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035551	SF1L	larvae72_Guadeloupe	2017-05-30	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035552	CPTR4E	water 24_bucket	2017-06-08	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035553	SF10L	larvae71_Guadeloupe	2017-05-30	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
SRR11035554	PC7L	larvae70_Guadeloupe	2017-07-15	Guadeloupe	16.2 N 61.4 W	1 pool of 30 larvae	Metagenome or environmental
