Experiment	sample_name	isolation_source	collection_date	geographic_location	lat_lon	sample_size	metagenome
SRR11035682	E113	water 113_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035683	E112	water 112_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035684	E111	water 111_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035685	BM1E	water 12_bucket	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035686	E109	water 109_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035687	E108	water 108_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035688	E107	water 107_R	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035689	E106	water 106_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035690	E105	water 105_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035691	E104	water 104_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035692	E103	water 103_P	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035693	E102	water 102_inf250	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035694	E101	water 101_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035695	E100	water 100_gD	2017-10-05/2017-10-30	French Guiana	3.56 N 53.7 W	700 ml	Metagenome or environmental
SRR11035696	BM10E	water 11_drum	2017-06-02	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035697	ABY1E	water 2_tire	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
SRR11035698	ABY10E	water 1_drum	2017-05-24	Guadeloupe	16.2 N 61.4 W	700 ml	Metagenome or environmental
